"Country","Retail chain","Total egg products","Percent of products cage-free","Num. cage","Num. unidentified","Num. cage-free","...of which","Commitment"
"Thailand","Villa Market",44,"18.18%",0,36,8,"Barn = 0<br />Aviary = 0<br />Free-range = 0<br />Organic = 5<br />Cage-free but unidentified = 3
","Has no commitment and is not reporting"
"Turkey","Bizim Toptan",4,"0.00%",0,4,0,"Barn = 0<br />Aviary = 0<br />Free-range = 0<br />Organic = 0<br />Cage-free but unidentified = 0
","Has no commitment and is not reporting"
"Turkey","Carrefour",23,"47.83%",0,12,11,"Barn = 0<br />Aviary = 0<br />Free-range = 2<br />Organic = 8<br />Cage-free but unidentified = 1
","Has no commitment and is not reporting"
"Turkey","Onur",21,"42.86%",0,12,9,"Barn = 0<br />Aviary = 0<br />Free-range = 4<br />Organic = 5<br />Cage-free but unidentified = 0
","Has no commitment and is not reporting"
"United States","ALDI",6,"66.67%",0,2,4,"Barn = 0<br />Aviary = 0<br />Free-range = 3<br />Organic = 0<br />Cage-free but unidentified = 1
","Has commitment but is not reporting"
"United States","Giant Eagle",46,"56.52%",0,20,26,"Barn = 0<br />Aviary = 0<br />Free-range = 13<br />Organic = 3<br />Cage-free but unidentified = 10
","Has commitment but is not reporting"
"United States","Kroger",32,"53.12%",0,15,17,"Barn = 0<br />Aviary = 0<br />Free-range = 10<br />Organic = 3<br />Cage-free but unidentified = 4
","Has commitment and is reporting"
"United States","Publix",48,"52.08%",0,23,25,"Barn = 0<br />Aviary = 0<br />Free-range = 11<br />Organic = 5<br />Cage-free but unidentified = 9
","Has commitment and is reporting"
"United States","Target",12,"75.00%",0,3,9,"Barn = 0<br />Aviary = 0<br />Free-range = 1<br />Organic = 2<br />Cage-free but unidentified = 6
","Has commitment and is reporting"
"United States","Walgreens",2,"100.00%",0,0,2,"Barn = 0<br />Aviary = 0<br />Free-range = 0<br />Organic = 0<br />Cage-free but unidentified = 2
","Has commitment and is reporting"
"United States","Walmart",39,"66.67%",0,13,26,"Barn = 0<br />Aviary = 0<br />Free-range = 2<br />Organic = 5<br />Cage-free but unidentified = 19
","Has commitment and is reporting"
